641,1,40,CLS_ID_CD,VARCHAR2,7
641,1,41,CLS_PLN_DESCN,VARCHAR2,100
641,1,42,PROD_ID_CD,VARCHAR2,20
641,1,43,PROD_DESCN,VARCHAR2,100
641,1,44,ORIGTG_SRC_CD,VARCHAR2,3
641,1,1,CLNT_ST_CD,VARCHAR2,2
641,1,2,CDM_MBR_KEY,VARCHAR2,20
641,1,3,PROXY_ID_CD,VARCHAR2,20
641,1,4,MBR_ID_CD,VARCHAR2,20
641,1,5,PRIMY_MBR_ID_CD,VARCHAR2,20
641,1,6,SUB_ID_CD,VARCHAR2,20
641,1,7,PRIMY_SUB_ID_CD,VARCHAR2,9
641,1,8,CDM_SUB_KEY,VARCHAR2,20
641,1,9,GRP_ID_CD,VARCHAR2,20
641,1,10,PRIMY_GRP_ID_CD,VARCHAR2,20
641,1,11,SUBGRP_ID_CD,VARCHAR2,20
641,1,12,PRIMY_SUBGRP_ID_CD,VARCHAR2,20
641,1,13,CDM_GRP_STRCT_KEY,VARCHAR2,20
641,1,14,CLS_DESCN,VARCHAR2,60
641,1,15,CLS_PLN_ID_CD,VARCHAR2,10
641,1,16,CDM_GRP_CLS_PLN_KEY,VARCHAR2,20
641,1,17,CDM_PROD_KEY,VARCHAR2,20
641,1,18,PROD_CAT_CD,VARCHAR2,3
641,1,19,TRNSL_PROD_TYP_CD,VARCHAR2,6
641,1,20,MBR_DOB_DT_KEY,DATE,8
641,1,21,MBR_GNDR_CD,VARCHAR2,1
641,1,22,MBR_RELSHP_CD,VARCHAR2,1
641,1,23,SUB_CNTCT_POSTL_CD,VARCHAR2,5
641,1,24,CDM_REC_EFF_DT_KEY,DATE,8
641,1,25,CDM_REC_CNCL_DT_KEY,DATE,8
641,1,26,FMLY_STRCT_CD,VARCHAR2,1
641,1,27,MBR_LST_NAME,VARCHAR2,25
641,1,28,MBR_FST_NAME,VARCHAR2,20
641,1,29,MBR_MID_NAME,VARCHAR2,20
641,1,30,WHOLE_MBR_CNT,VARCHAR2,5
641,1,31,WHOLE_CONTR_CNT,VARCHAR2,5
641,1,32,SUB_ADDR_LN_1_TXT,VARCHAR2,60
641,1,33,SUB_ADDR_LN_2_TXT,VARCHAR2,60
641,1,34,SUB_ADDR_LN_3_TXT,VARCHAR2,60
641,1,35,SUB_CITY_NAME,VARCHAR2,60
641,1,36,SUB_ST_CD,VARCHAR2,4
641,1,37,MBR_PH_NUM_TXT,VARCHAR2,10
641,1,38,CURR_CTG_PERS_KEY_CD,VARCHAR2,16
641,1,39,SUBGRP_NAME,VARCHAR2,60
